forage_number,nn_rule,level,det,rmi,ood
1,0,_level_1,0.1033487297921478,0.5206206038732258,2
1,0,_level_2,0.3530598520511096,0.6524650997844963,1
1,1,_level_1,0.11437626044367617,0.5541001513537535,2
1,1,_level_2,0.9314194577352473,0.897230493502368,1
1,2,_level_1,0.18447412353923207,0.5054164540263545,1
1,2,_level_2,0.9166666666666666,0.9320932394382675,1
1,3,_level_1,0.19816053511705686,0.6162087419637842,1
1,3,_level_2,0.9046979865771813,0.9442050955466759,1
1,4,_level_1,0.1608695652173913,0.5340977045164276,1
1,4,_level_2,0.8686868686868687,0.9439491358549095,1
1,5,_level_1,0.15964912280701754,0.5567423381169222,1
1,5,_level_2,0.7108585858585859,0.9284824209530531,1
2,0,_level_1,0.07900028727377191,0.47262906261014714,1
2,0,_level_2,0.6598101265822784,0.7756904227220589,1
2,1,_level_1,0.0894874022589053,0.5128397018759878,2
2,1,_level_2,0.9043062200956937,0.929485140694986,1
2,2,_level_1,0.3874445149017121,0.6055688124761361,1
2,2,_level_2,0.851010101010101,0.9234230996611866,1
2,3,_level_1,0.1870967741935484,0.5419334658575357,1
2,3,_level_2,0.9416445623342176,0.9260025752906271,1
2,4,_level_1,0.1485148514851485,0.49045175503997895,1
2,4,_level_2,0.8345959595959596,0.958532865117963,1
2,5,_level_1,0.12334801762114538,0.5144130735032939,1
2,5,_level_2,0.7878787878787878,0.9472990520008406,1
3,0,_level_1,0.18721198156682028,0.5652731719731381,2
3,0,_level_2,0.38058252427184464,0.6516607646207209,1
3,1,_level_1,0.13865667339290863,0.6137615226674689,2
3,1,_level_2,0.9808612440191388,0.9510910438875669,1
3,2,_level_1,0.22502030869212022,0.5499189185517903,1
3,2,_level_2,0.9053030303030303,0.9573920531946511,1
3,3,_level_1,0.24192059095106186,0.6071537424506086,1
3,3,_level_2,0.953083109919571,0.9584491390216525,1
3,4,_level_1,0.16052631578947368,0.4869454908816896,1
3,4,_level_2,0.8106060606060606,0.9060411688505191,1
3,5,_level_1,0.17860016090104586,0.5272571037810916,1
3,5,_level_2,0.7323232323232324,0.92084429332941,1
4,0,_level_1,0.24402189570728897,0.6729510207322424,2
4,0,_level_2,0.5269058295964125,0.6695984692418249,1
4,1,_level_1,0.14946516334200635,0.5024010337995453,1
4,1,_level_2,0.9309262166405023,0.905942266585795,1
4,2,_level_1,0.17916337805840568,0.4571436922484716,1
4,2,_level_2,0.6823979591836735,0.9105348723896551,1
4,3,_level_1,0.2248134328358209,0.6012196306319656,1
4,3,_level_2,0.9543624161073826,0.9662646914363078,1
4,4,_level_1,0.12386457473162675,0.505739225368417,1
4,4,_level_2,0.8131313131313131,0.8615158527429738,1
